rank	token	freq
260 	 Beispiel 	 49
261 	 zwei 	 49
262 	 waren, 	 49
263 	 eben 	 49
264 	 hatten 	 48
265 	 kleinen 	 48
266 	 Blick 	 48
267 	 Barnabas, 	 48
268 	 stand 	 47
269 	 keinen 	 47
270 	 auf, 	 47
271 	 sei, 	 47
272 	 meiner 	 47
273 	 zwischen 	 47
274 	 manchmal 	 47
275 	 Dorf 	 46
276 	 gab 	 46
277 	 nahm 	 46
278 	 »ich 	 46
279 	 bist 	 46
280 	 werden, 	 46
281 	 Wie 	 45
282 	 gegenüber 	 45
283 	 In 	 45
284 	 heute 	 45
285 	 sagen, 	 44
286 	 »Du 	 44
287 	 So 	 44
288 	 euch 	 44
289 	 Nacht 	 44
290 	 solchen 	 44
291 	 dazu 	 44
292 	 Hans 	 44
293 	 anderes 	 43
294 	 gewesen, 	 43
295 	 blieb 	 43
296 	 besonders 	 43
297 	 endlich 	 43
298 	 oben 	 43
299 	 aber, 	 43
300 	 niemand 	 43
301 	 deine 	 43
302 	 Ihre 	 43
303 	 Tag 	 43
304 	 Weg 	 42
305 	 hinter 	 42
306 	 bald 	 42
307 	 gut 	 42
308 	 großen 	 42
309 	 Mädchen 	 42
310 	 worden 	 42
311 	 Du 	 42
312 	 mein 	 42
313 	 ja, 	 42
314 	 anders 	 42
315 	 könnte 	 42
316 	 große 	 41
317 	 Landvermesser 	 41
318 	 Nur 	 41
319 	 Als 	 41
320 	 allein 	 41
321 	 Stelle 	 41
322 	 **** 	 40
323 	 sind, 	 40
324 	 hätten 	 40
325 	 ganze 	 39
326 	 weit 	 39
327 	 Familie 	 39
328 	 Bett 	 39
329 	 Herrenhof 	 39
330 	 unsere 	 39
331 	 Akten 	 39
332 	 genug 	 38
333 	 recht 	 38
334 	 ersten 	 38
335 	 Da 	 38
336 	 plötzlich 	 38
337 	 Nun, 	 38
338 	 hatte. 	 38
339 	 darauf 	 37
340 	 Ein 	 37
341 	 sehen 	 37
342 	 Worte 	 37
343 	 Ausschank 	 37
344 	 mir, 	 37
345 	 Leute 	 36
346 	 Auch 	 36
347 	 hätte, 	 36
348 	 nur, 	 36
349 	 daran 	 36
350 	 Hause 	 36
351 	 denen 	 36
352 	 davon 	 35
353 	 wußte 	 35
354 	 sein. 	 35
355 	 langsam 	 35
356 	 soll 	 35
357 	 bisher 	 35
358 	 ließ 	 35
359 	 »Nein«, 	 35
360 	 können. 	 35
361 	 sollte 	 35
362 	 paar 	 35
363 	 darüber 	 35
364 	 Beamten 	 35
365 	 einige 	 34
366 	 wolle 	 34
367 	 wirst 	 34
368 	 weiter 	 34
369 	 Gedanken 	 34
370 	 Tisch 	 34
371 	 Gang 	 34
372 	 Olga, 	 34
373 	 konnte, 	 34
374 	 ist. 	 34
375 	 Sortini 	 34
376 	 schließlich 	 33
377 	 das, 	 33
378 	 Leben 	 33
379 	 Lehrer, 	 33
380 	 aus, 	 33
381 	 Gehilfen, 	 33
382 	 alles, 	 33
383 	 obwohl 	 33
384 	 Wort 	 33
385 	 geschehen 	 33
386 	 scheint 	 33
387 	 sollte, 	 32
388 	 Meinung 	 32
389 	 aller 	 32
390 	 machte 	 32
391 	 Gesicht 	 32
392 	 meinen 	 32
393 	 gehen 	 32
394 	 hatten, 	 32
395 	 machen 	 32
396 	 lag 	 31
397 	 wollte, 	 31
398 	 lassen, 	 31
399 	 ganzen 	 31
400 	 Art 	 31
401 	 machen, 	 31
402 	 mich, 	 31
403 	 glaube 	 31
404 	 kommt 	 31
405 	 ehe 	 31
406 	 wäre, 	 31
407 	 jeder 	 31
408 	 ihn, 	 30
409 	 Wirtshaus 	 30
410 	 wer 	 30
411 	 hörte 	 30
412 	 leicht 	 30
413 	 schnell 	 30
414 	 nicht«, 	 30
415 	 gibt 	 30
416 	 genau 	 30
417 	 tun 	 30
418 	 Vorsteher 	 30
419 	 Augenblick 	 29
420 	 jeden 	 29
421 	 du, 	 29
422 	 ab, 	 29
423 	 sagte, 	 29
424 	 gesehen 	 29
425 	 Wir 	 29
426 	 drei 	 29
427 	 dadurch 	 29
428 	 neben 	 28
429 	 besser 	 28
430 	 Man 	 28
431 	 hielt 	 28
432 	 Schloß, 	 28
433 	 hin 	 28
434 	 »Was 	 28
435 	 kann, 	 28
436 	 dafür 	 28
437 	 oft 	 28
438 	 jetzt, 	 28
439 	 mehr, 	 28
440 	 nun, 	 28
441 	 Kopf 	 27
442 	 darin 	 27
443 	 zog 	 27
444 	 Ihr 	 27
445 	 lassen 	 27
446 	 Antwort 	 27
447 	 kleine 	 27
448 	 wurde, 	 27
449 	 seit 	 27
450 	 doch, 	 27
451 	 ihm, 	 27
452 	 sagen 	 27
453 	 Stellung 	 27
454 	 blickte 	 26
455 	 sagte: 	 26
456 	 zeigte 	 26
457 	 werden. 	 26
458 	 saß 	 26
459 	 »Nun 	 26
460 	 Teil 	 26
461 	 zurück, 	 26
462 	 Sie, 	 26
463 	 wandte 	 26
464 	 Weise 	 26
465 	 hinsichtlich 	 26
466 	 Hoffnung 	 26
467 	 haben. 	 26
468 	 Fall 	 26
469 	 Brunswick 	 26
470 	 Bürgel 	 26
471 	 an. 	 25
472 	 Mann, 	 25
473 	 Arm 	 25
474 	 er. 	 25
475 	 sofort 	 25
476 	 Ihrer 	 25
477 	 ruhig 	 25
478 	 und, 	 25
479 	 gern 	 25
480 	 Arbeit, 	 25
481 	 ein, 	 25
482 	 willst 	 25
483 	 müssen 	 25
484 	 sprechen 	 25
485 	 dein 	 25
486 	 müssen, 	 25
487 	 wollen, 	 25
488 	 Dienst 	 25
489 	 mag 	 25
490 	 sprechen, 	 25
491 	 Dinge 	 25
492 	 Frieda. 	 25
493 	 Vorsteher, 	 25
494 	 jemand 	 25
495 	 unten 	 24
496 	 Schnee 	 24
497 	 Landvermesser, 	 24
498 	 Weilchen 	 24
499 	 kommen, 	 24
500 	 beiden 	 24
501 	 ebenso 	 24
502 	 später 	 24
503 	 jener 	 24
504 	 wollen 	 24
505 	 Fragen 	 24
506 	 Bauern 	 23
507 	 »Und 	 23
508 	 leider 	 23
509 	 Daß 	 23
510 	 längst 	 23
511 	 können 	 23
512 	 »Er 	 23
513 	 nie 	 23
514 	 früher 	 23
515 	 Doch 	 23
516 	 Hilfe 	 23
517 	 daher 	 23
518 	 wird, 	 23
519 	 Sordini 	 23
520 	 Boten 	 23
521 	 darf 	 22
522 	 großer 	 22
523 	 Schwarzer 	 22
524 	 Bitte 	 22
525 	 Vielleicht 	 22
526 	 neue 	 22
527 	 jede 	 22
528 	 beide 	 22
529 	 einander 	 22
530 	 Haus 	 22
531 	 meinem 	 22
532 	 geht 	 22
533 	 Wirklichkeit 	 22
534 	 geworden 	 22
535 	 Freilich, 	 22
536 	 nämlich 	 22
537 	 deren 	 22
538 	 Wirtin. 	 22
539 	 Decke 	 21
540 	 gehen, 	 21
541 	 werde, 	 21
542 	 würde, 	 21
543 	 gekommen, 	 21
544 	 weder 	 21
545 	 Gespräch 	 21
546 	 Tage 	 21
547 	 müsse 	 21
548 	 zuerst 	 21
549 	 macht 	 21
550 	 eigenen 	 21
551 	 anderen, 	 21
552 	 gekommen 	 21
553 	 Verbindung 	 21
554 	 Zeit, 	 21
555 	 lieber 	 21
556 	 nötig 	 21
557 	 könnte, 	 21
558 	 Leuten 	 21
559 	 auch, 	 21
560 	 Diese 	 21
561 	 deiner 	 21
562 	 Erlanger 	 21
563 	 Kapitel 	 20
564 	 sehen, 	 20
565 	 lassen. 	 20
566 	 Willen 	 20
567 	 »Wie 	 20
568 	 still 	 20
569 	 »aber 	 20
570 	 übrigens 	 20
571 	 irgend 	 20
572 	 trotz 	 20
573 	 setzte 	 20
574 	 voll 	 20
575 	 zu, 	 20
576 	 öfters 	 20
577 	 letzten 	 20
578 	 offen 	 20
579 	 Anblick 	 20
580 	 Stunde 	 20
581 	 Klamm, 	 20
582 	 Liebe 	 20
583 	 möglich, 	 20
584 	 dagegen 	 20
585 	 wissen 	 20
586 	 sei. 	 20
587 	 Sekretär 	 20
588 	 Amalia, 	 20
589 	 Augen, 	 19
590 	 »Die 	 19
591 	 »es 	 19
592 	 verlassen 	 19
593 	 Im 	 19
594 	 Grund 	 19
595 	 zumindest 	 19
596 	 gesprochen 	 19
597 	 man, 	 19
598 	 »Der 	 19
599 	 kamen 	 19
600 	 »Ja«, 	 19
601 	 Lage 	 19
602 	 geschehen, 	 19
603 	 förmlich 	 19
604 	 guten 	 19
605 	 etwas, 	 19
606 	 Platz 	 19
607 	 Schlitten 	 19
608 	 Erst 	 19
609 	 Frage 	 19
610 	 Behörde 	 19
611 	 vor, 	 19
612 	 gewisse 	 19
613 	 fort, 	 19
614 	 nicht; 	 19
615 	 amtliche 	 19
616 	 unserer 	 19
617 	 getan 	 19
618 	 Pepi, 	 19
619 	 gewissermaßen 	 18
620 	 zurück. 	 18
621 	 soweit 	 18
622 	 Wirt, 	 18
623 	 warf 	 18
624 	 dachte 	 18
625 	 halten 	 18
626 	 »Wer 	 18
627 	 weniger 	 18
628 	 Rücksicht 	 18
629 	 Müdigkeit 	 18
630 	 seid 	 18
631 	 suchte 	 18
632 	 Landvermesser«, 	 18
633 	 »Nein, 	 18
634 	 irgendwie 	 18
635 	 Jeremias 	 18
636 	 sie. 	 18
637 	 schwer 	 18
638 	 unmöglich 	 18
639 	 worden, 	 18
640 	 Bier 	 18
641 	 Nicht 	 18
642 	 selbst, 	 18
643 	 wären 	 18
644 	 konnten 	 18
645 	 Möglichkeit 	 18
646 	 Zimmer, 	 18
647 	 Olga. 	 18
648 	 Ihren 	 18
649 	 vergessen 	 18
650 	 Grunde 	 18
651 	 tun, 	 18
652 	 jedem 	 18
653 	 »Aber 	 18
654 	 Lehrerin 	 18
655 	 glaubte 	 18
656 	 erste 	 17
657 	 halb 	 17
658 	 »Warum 	 17
659 	 kenne 	 17
660 	 Hinsicht 	 17
661 	 vielen 	 17
662 	 Tag, 	 17
663 	 Mit 	 17
664 	 Warum 	 17
665 	 draußen 	 17
666 	 Aus 	 17
667 	 »Wenn 	 17
668 	 tat 	 17
669 	 gemacht 	 17
670 	 aufgenommen 	 17
671 	 lief 	 17
672 	 Auftrag 	 17
673 	 weiß, 	 17
674 	 kannst 	 17
675 	 diesmal 	 17
676 	 Herr, 	 17
677 	 Tür. 	 17
678 	 Hände 	 17
679 	 hätten, 	 17
680 	 nächsten 	 17
681 	 vielmehr 	 17
682 	 finden 	 17
683 	 Schule 	 17
684 	 wieder, 	 17
685 	 Vaters 	 17
686 	 Parteien 	 17
687 	 Nähe 	 16
688 	 junge 	 16
689 	 her 	 16
690 	 Küche 	 16
691 	 wußte, 	 16
692 	 hat. 	 16
693 	 sah, 	 16
694 	 Ferne 	 16
695 	 einzige 	 16
696 	 wiederholte 	 16
697 	 wollten 	 16
698 	 wurden 	 16
699 	 trotzdem 	 16
700 	 habt 	 16
701 	 Ordnung 	 16
702 	 gewissen 	 16
703 	 eigene 	 16
704 	 Gerstäcker 	 16
705 	 lang 	 16
706 	 müde, 	 16
707 	 Stunden 	 16
708 	 bekommen 	 16
709 	 daran, 	 16
710 	 geworden, 	 16
711 	 glücklich 	 16
712 	 Bedeutung 	 16
713 	 Tür, 	 16
714 	 hoch 	 16
715 	 solange 	 16
716 	 welchem 	 16
717 	 gesehen, 	 16
718 	 gänzlich 	 16
719 	 dann, 	 16
720 	 meisten 	 16
721 	 Beamten, 	 16
722 	 erkennen, 	 16
723 	 Amalias 	 16
724 	 da, 	 15
725 	 »Dann 	 15
726 	 morgen 	 15
727 	 mußte, 	 15
728 	 besten 	 15
729 	 begann 	 15
730 	 ab 	 15
731 	 leicht, 	 15
732 	 gute 	 15
733 	 lachte 	 15
734 	 gesagt, 	 15
735 	 nicht.« 	 15
736 	 kurz 	 15
737 	 Kleid 	 15
738 	 müde 	 15
739 	 hier, 	 15
740 	 »und 	 15
741 	 gehört 	 15
742 	 fest 	 15
743 	 Morgen 	 15
744 	 je 	 15
745 	 ähnlich 	 15
746 	 fuhr 	 15
747 	 Namen 	 15
748 	 Von 	 15
749 	 verloren 	 15
750 	 bleiben, 	 15
751 	 immerhin 	 15
752 	 jedes 	 15
753 	 gehabt 	 15
754 	 groß 	 15
755 	 bleiben 	 15
756 	 Jahren 	 15
757 	 noch, 	 15
758 	 Angst 	 15
759 	 gleich, 	 15
760 	 sprach 	 15
761 	 viele 	 15
762 	 »Ja, 	 15
763 	 könne 	 15
764 	 Geliebte 	 15
765 	 allzu 	 15
766 	 Glück 	 15
767 	 Behörden 	 15
768 	 muß, 	 15
769 	 Worten 	 15
770 	 welcher 	 15
771 	 erzählt 	 15
772 	 nichts, 	 15
773 	 Hansens 	 15
774 	 deinen 	 15
775 	 Schuld 	 15
776 	 Türen 	 15
777 	 Sekretäre 	 15
778 	 Partei 	 15
779 	 schlafen 	 14
780 	 »das 	 14
781 	 gesagt 	 14
782 	 bin, 	 14
783 	 Nacht, 	 14
784 	 gehen. 	 14
785 	 frei 	 14
786 	 fiel 	 14
787 	 infolge 	 14
788 	 deutlich 	 14
789 	 überall 	 14
790 	 ihn. 	 14
791 	 fügte 	 14
792 	 öffnete 	 14
793 	 Stimme 	 14
794 	 dort, 	 14
795 	 Frau, 	 14
796 	 überdies 	 14
797 	 Menschen 	 14
798 	 Fenster 	 14
799 	 erreichen 	 14
800 	 irgendwo 	 14
801 	 alten 	 14
802 	 es. 	 14
803 	 gut, 	 14
804 	 Abend 	 14
805 	 sehe 	 14
806 	 suchte, 	 14
807 	 geradezu 	 14
808 	 Gehilfe 	 14
809 	 darüber, 	 14
810 	 richtig 	 14
811 	 finden, 	 14
812 	 liegt 	 14
813 	 kam, 	 14
814 	 Lärm 	 14
815 	 bringen 	 14
816 	 Blick, 	 14
817 	 Hand, 	 14
818 	 gleichzeitig 	 14
819 	 imstande 	 14
820 	 konnte. 	 14
821 	 Vater, 	 14
822 	 habe. 	 14
823 	 Gelegenheit 	 14
824 	 spricht 	 14
825 	 anderer 	 14
826 	 Kleider 	 14
827 	 Kopf, 	 14
828 	 Mädchen, 	 14
829 	 deshalb, 	 14
830 	 allem, 	 14
831 	 Nein, 	 14
832 	 unser 	 14
833 	 Abteilung 	 14
834 	 Briefe 	 14
835 	 unseren 	 14
836 	 Protokoll 	 14
837 	 Schuldiener 	 14
838 	 Momus 	 14
839 	 Jeremias, 	 14
840 	 stellte 	 13
841 	 Ist 	 13
842 	 auf. 	 13
843 	 Kind 	 13
844 	 tief 	 13
845 	 ab. 	 13
846 	 Übrigens 	 13
847 	 kümmerte 	 13
848 	 Kraft 	 13
849 	 Kinder 	 13
850 	 erstenmal 	 13
851 	 hin, 	 13
852 	 suchen, 	 13
853 	 Ende 	 13
854 	 kennt 	 13
855 	 Hof 	 13
856 	 gehe 	 13
857 	 eher 	 13
858 	 kleiner 	 13
859 	 bekam 	 13
860 	 »Wir 	 13
861 	 ist.« 	 13
862 	 recht, 	 13
863 	 Bote 	 13
864 	 wissen, 	 13
865 	 Trotzdem 	 13
866 	 kleines 	 13
867 	 gemacht, 	 13
868 	 An 	 13
869 	 möglichst 	 13
870 	 wollen. 	 13
871 	 Noch 	 13
872 	 erreicht 	 13
873 	 geben 	 13
874 	 ihres 	 13
875 	 Bei 	 13
876 	 verstehe 	 13
877 	 schwer, 	 13
878 	 solcher 	 13
879 	 Ausschank, 	 13
880 	 kann. 	 13
881 	 manches 	 13
882 	 Für 	 13
883 	 zusammen, 	 13
884 	 vorläufig 	 13
885 	 Vor 	 13
886 	 vergessen, 	 13
887 	 glauben 	 13
888 	 glauben, 	 13
889 	 einfach 	 13
890 	 bereit, 	 13
891 	 will, 	 13
892 	 geringste 	 13
893 	 inzwischen 	 13
894 	 Beamter 	 13
895 	 unglücklich 	 13
896 	 Hans, 	 13
897 	 Katze 	 13
898 	 tue 	 13
899 	 hast, 	 13
900 	 Diener, 	 13
901 	 ein. 	 12
902 	 Erlaubnis 	 12
903 	 trat 	 12
904 	 drehte 	 12
905 	 Dieser 	 12
906 	 schrie 	 12
907 	 alle, 	 12
908 	 vornherein 	 12
909 	 Bild 	 12
910 	 sehen. 	 12
911 	 Dorf, 	 12
912 	 Hier 	 12
913 	 alte 	 12
914 	 sollen, 	 12
915 	 »Ihr 	 12
916 	 nichts. 	 12
917 	 nickte 	 12
918 	 Jetzt 	 12
919 	 Folgen 	 12
920 	 Straße 	 12
921 	 nahe 	 12
922 	 Ecke 	 12
923 	 trug 	 12
924 	 Leute, 	 12
925 	 »Gut«, 	 12
926 	 großes 	 12
927 	 Eindruck 	 12
928 	 stehen 	 12
929 	 Tage, 	 12
930 	 Seiten 	 12
931 	 Befehl 	 12
932 	 Ja, 	 12
933 	 neuen 	 12
934 	 mehr. 	 12
935 	 offen, 	 12
936 	 scheinbar 	 12
937 	 Gemeindevorsteher 	 12
938 	 möglich 	 12
939 	 Bett, 	 12
940 	 jenem 	 12
941 	 holen, 	 12
942 	 Gegenwart 	 12
943 	 nötig, 	 12
944 	 irgendein 	 12
945 	 statt 	 12
946 	 dürfen, 	 12
947 	 helfen, 	 12
948 	 sprach, 	 12
949 	 ging, 	 12
950 	 könnten 	 12
951 	 Arme 	 12
952 	 seien 	 12
953 	 seines 	 12
954 	 Angelegenheit 	 12
955 	 verstehen, 	 12
956 	 sage 	 12
957 	 Derartiges 	 12
958 	 sind. 	 12
959 	 desto 	 12
960 	 Verhältnis 	 12
961 	 uns, 	 12
962 	 zeigen, 	 12
963 	 Wahrheit 	 12
964 	 jedenfalls 	 12
965 	 welchen 	 12
966 	 allgemeinen 	 12
967 	 schön 	 12
968 	 Zimmermädchen 	 12
969 	 Gisa 	 12
970 	 Knechte 	 12
971 	 äußerst 	 11
972 	 hin. 	 11
973 	 Niemand 	 11
974 	 langsam, 	 11
975 	 Gäste 	 11
976 	 faßte 	 11
977 	 Schlaf 	 11
978 	 Erzählung 	 11
979 	 würden 	 11
980 	 glaubte, 	 11
981 	 »er 	 11
982 	 Brust 	 11
983 	 aus. 	 11
984 	 dadurch, 	 11
985 	 Gemeinde 	 11
986 	 Lehrer. 	 11
987 	 kennen 	 11
988 	 Eine 	 11
989 	 Auf 	 11
990 	 du?« 	 11
991 	 Worte, 	 11
992 	 damit, 	 11
993 	 endgültig 	 11
994 	 Händen 	 11
995 	 weitere 	 11
996 	 Wirt. 	 11
997 	 bleibt 	 11
998 	 lange, 	 11
999 	 hing 	 11
1000 	 Ergebnis 	 11
1001 	 anders. 	 11
1002 	 besondere 	 11
1003 	 Sinne 	 11
1004 	 zurück 	 11
1005 	 müssen. 	 11
1006 	 getan, 	 11
1007 	 jenes 	 11
1008 	 Lasemann 	 11
1009 	 Freude 	 11
1010 	 machen. 	 11
1011 	 fand 	 11
1012 	 warten, 	 11
1013 	 Barnabas. 	 11
1014 	 Nacht. 	 11
1015 	 warten 	 11
1016 	 mußt 	 11
1017 	 Seite 	 11
1018 	 »du 	 11
1019 	 bat 	 11
1020 	 Dort 	 11
1021 	 ihr, 	 11
1022 	 Tuch 	 11
1023 	 aufmerksam 	 11
1024 	 Verbindungen 	 11
1025 	 leeren 	 11
1026 	 betrifft, 	 11
1027 	 müßte 	 11
1028 	 ernst 	 11
1029 	 Zwar 	 11
1030 	 Art, 	 11
1031 	 Boden 	 11
1032 	 zunächst 	 11
1033 	 sitzen 	 11
1034 	 wenig, 	 11
1035 	 Unruhe 	 11
1036 	 Raum 	 11
1037 	 nehmen 	 11
1038 	 Ihrem 	 11
1039 	 amtlichen 	 11
1040 	 Amt 	 11
1041 	 darin, 	 11
1042 	 Fehler 	 11
1043 	 größte 	 11
1044 	 Wer 	 11
1045 	 nimmt 	 11
1046 	 hören, 	 11
1047 	 Jahre 	 11
1048 	 »daß 	 11
1049 	 fragte, 	 11
1050 	 Beamte 	 11
1051 	 meistens 	 11
1052 	 Sorgen 	 11
1053 	 Hoffnung, 	 11
1054 	 Unterschied 	 11
1055 	 manche 	 11
1056 	 wisse 	 11
1057 	 still, 	 10
1058 	 Gesicht, 	 10
1059 	 ihm. 	 10
1060 	 Besitz 	 10
1061 	 holen 	 10
1062 	 denn?« 	 10
1063 	 sich. 	 10
1064 	 weit, 	 10
1065 	 gefunden, 	 10
1066 	 schien, 	 10
1067 	 Erklärung 	 10
1068 	 zeigte, 	 10
1069 	 Kampf 	 10
1070 	 Nach 	 10
1071 	 großen, 	 10
1072 	 würde. 	 10
1073 	 weiter, 	 10
1074 	 Lippen 	 10
1075 	 Vertrauen 	 10
1076 	 Schon 	 10
1077 	 Junge 	 10
1078 	 leise 	 10
1079 	 sein«, 	 10
1080 	 hierher 	 10
1081 	 verlassen, 	 10
1082 	 schwere 	 10
1083 	 Stube 	 10
1084 	 schon, 	 10
1085 	 Schulter 	 10
1086 	 braucht 	 10
1087 	 sie: 	 10
1088 	 gingen 	 10
1089 	 steht 	 10
1090 	 dessen, 	 10
1091 	 durfte 	 10
1092 	 darum 	 10
1093 	 Mitleid 	 10
1094 	 zu. 	 10
1095 	 saßen 	 10
1096 	 einziger 	 10
1097 	 schlug 	 10
1098 	 bitte, 	 10
1099 	 beschäftigt, 	 10
1100 	 erkennen 	 10
1101 	 Ihnen, 	 10
1102 	 Gefahr 	 10
1103 	 geschah 	 10
1104 	 jemanden 	 10
1105 	 Botschaft 	 10
1106 	 Flur 	 10
1107 	 ja«, 	 10
1108 	 Licht 	 10
1109 	 gewesen. 	 10
1110 	 geben, 	 10
1111 	 Oder 	 10
1112 	 Hemd 	 10
1113 	 schienen 	 10
1114 	 wichtige 	 10
1115 	 Kleidern 	 10
1116 	 irgendwelche 	 10
1117 	 , 	 10
1118 	 »So 	 10
1119 	 erzählen, 	 10
1120 	 Ausschankmädchen 	 10
1121 	 allmählich 	 10
1122 	 Haar 	 10
